relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation_2,orientation_3,orientation_4,orientation_5,glazing_area_modified,glazing_dist_1,glazing_dist_2,glazing_dist_3,glazing_dist_4,glazing_dist_5,glazing_dist_6,heating_load
0.76,661.5,416.5,122.5,7,0,0,0,1,1,1,0,0,0,0,0,23.93
0.69,735,294,220.5,3.5,0,1,0,0,1.4,0,0,0,0,0,1,14.28
0.9,563.5,318.5,122.5,7,0,0,0,1,1.1,0,1,0,0,0,0,28.09
0.79,637,343,147,7,0,0,0,1,1.4,0,0,1,0,0,0,41.92
0.71,710.5,269.5,220.5,3.5,0,1,0,0,1.25,0,0,1,0,0,0,12.29
0.74,686,245,220.5,3.5,0,0,0,1,1.25,0,1,0,0,0,0,12.45
0.64,784,343,220.5,3.5,1,0,0,0,1.4,0,0,0,1,0,0,18.48
0.71,710.5,269.5,220.5,3.5,0,0,1,0,1.25,0,0,0,0,0,1,12.25
0.98,514.5,294,110.25,7,0,0,1,0,1.4,0,1,0,0,0,0,32.49
0.79,637,343,147,7,1,0,0,0,1.4,0,0,0,0,1,0,42.77
0.82,612.5,318.5,147,7,0,0,0,1,1.1,0,0,1,0,0,0,22.79
0.64,784,343,220.5,3.5,1,0,0,0,1.25,0,0,0,0,1,0,16.99
0.9,563.5,318.5,122.5,7,0,0,1,0,1.25,0,0,0,1,0,0,32.68
0.74,686,245,220.5,3.5,0,0,1,0,1.1,0,0,0,1,0,0,10.35
0.82,612.5,318.5,147,7,0,0,1,0,1.4,0,0,0,0,1,0,28.64
0.62,808.5,367.5,220.5,3.5,0,1,0,0,1,1,0,0,0,0,0,8.49
0.69,735,294,220.5,3.5,0,0,0,1,1.4,0,0,0,0,0,1,14.21
0.62,808.5,367.5,220.5,3.5,0,0,0,1,1.1,0,0,1,0,0,0,13.04
0.64,784,343,220.5,3.5,1,0,0,0,1.1,0,0,0,1,0,0,15.16
0.71,710.5,269.5,220.5,3.5,0,1,0,0,1.1,0,0,0,1,0,0,10.68
0.62,808.5,367.5,220.5,3.5,0,0,0,1,1.25,0,0,0,0,0,1,13.86
0.79,637,343,147,7,0,0,1,0,1,1,0,0,0,0,0,29.63
0.82,612.5,318.5,147,7,0,1,0,0,1.4,0,0,1,0,0,0,29.49
0.66,759.5,318.5,220.5,3.5,0,1,0,0,1.1,0,0,0,0,0,1,11.34
0.64,784,343,220.5,3.5,0,1,0,0,1.25,0,0,0,0,1,0,16.69
0.74,686,245,220.5,3.5,0,0,1,0,1.4,0,1,0,0,0,0,14.5
0.79,637,343,147,7,0,1,0,0,1.4,0,0,0,1,0,0,41.3
0.74,686,245,220.5,3.5,0,1,0,0,1.1,0,0,1,0,0,0,10.46
0.69,735,294,220.5,3.5,0,0,1,0,1.25,0,0,0,1,0,0,12.31
0.98,514.5,294,110.25,7,0,0,1,0,1.4,0,0,1,0,0,0,32.24
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1.4,0,1,0,0,0,0,14.51
0.9,563.5,318.5,122.5,7,0,0,0,1,1.25,0,0,0,1,0,0,32.29
0.82,612.5,318.5,147,7,0,1,0,0,1.25,0,0,1,0,0,0,25.98
0.66,759.5,318.5,220.5,3.5,0,0,0,1,1.1,0,0,0,0,1,0,11.43
0.82,612.5,318.5,147,7,0,0,0,1,1.1,0,0,0,0,1,0,24.24
0.69,735,294,220.5,3.5,0,0,1,0,1.4,0,0,1,0,0,0,14.33
0.66,759.5,318.5,220.5,3.5,0,0,0,1,1.25,0,0,0,1,0,0,12.84
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1.1,0,0,0,0,1,0,10.66
0.71,710.5,269.5,220.5,3.5,0,1,0,0,1.25,0,0,0,0,0,1,12.19
0.62,808.5,367.5,220.5,3.5,1,0,0,0,1.1,0,0,0,0,1,0,12.85
0.62,808.5,367.5,220.5,3.5,0,0,1,0,1.1,0,1,0,0,0,0,12.93
0.69,735,294,220.5,3.5,0,0,0,1,1.25,0,0,0,1,0,0,12.12
0.74,686,245,220.5,3.5,0,0,1,0,1.4,0,0,0,0,0,1,14.17
0.82,612.5,318.5,147,7,0,0,1,0,1.1,0,0,0,0,0,1,22.89
0.66,759.5,318.5,220.5,3.5,0,0,1,0,1.1,0,0,1,0,0,0,11.33
0.71,710.5,269.5,220.5,3.5,0,0,0,1,1.1,0,0,0,1,0,0,10.7
0.79,637,343,147,7,0,0,1,0,1.1,0,0,0,1,0,0,36.97
0.62,808.5,367.5,220.5,3.5,0,0,0,1,1.1,0,0,0,1,0,0,12.73
0.66,759.5,318.5,220.5,3.5,0,1,0,0,1.4,0,1,0,0,0,0,15.23
0.98,514.5,294,110.25,7,0,0,1,0,1.25,0,0,1,0,0,0,28.18
0.64,784,343,220.5,3.5,0,0,0,1,1.4,0,0,0,1,0,0,18.46
0.76,661.5,416.5,122.5,7,1,0,0,0,1.25,0,0,0,0,1,0,36.95
0.98,514.5,294,110.25,7,0,1,0,0,1.4,0,0,0,1,0,0,32.69
0.62,808.5,367.5,220.5,3.5,0,0,0,1,1.4,0,0,1,0,0,0,17.15
0.86,588,294,147,7,0,0,0,1,1.4,0,0,0,0,1,0,32.75
0.76,661.5,416.5,122.5,7,1,0,0,0,1.1,0,0,0,0,1,0,33.08
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1.25,0,0,0,1,0,0,12.41
0.98,514.5,294,110.25,7,0,1,0,0,1.1,0,0,1,0,0,0,24.31
0.9,563.5,318.5,122.5,7,0,0,0,1,1,1,0,0,0,0,0,19.68
0.66,759.5,318.5,220.5,3.5,1,0,0,0,1.25,0,0,1,0,0,0,13.05
0.86,588,294,147,7,1,0,0,0,1.1,0,0,0,1,0,0,25.41
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1,1,0,0,0,0,0,6.37
0.79,637,343,147,7,1,0,0,0,1.1,0,0,0,0,1,0,36.86
0.98,514.5,294,110.25,7,0,0,1,0,1.4,0,0,0,1,0,0,32.23
0.76,661.5,416.5,122.5,7,0,1,0,0,1.25,0,0,0,0,1,0,36.45
0.69,735,294,220.5,3.5,0,0,0,1,1.4,0,0,1,0,0,0,14.62
0.62,808.5,367.5,220.5,3.5,1,0,0,0,1,1,0,0,0,0,0,8.6
0.71,710.5,269.5,220.5,3.5,0,0,1,0,1.1,0,1,0,0,0,0,10.7
0.9,563.5,318.5,122.5,7,0,0,0,1,1.4,0,1,0,0,0,0,35.96
0.66,759.5,318.5,220.5,3.5,0,0,1,0,1.1,0,0,0,0,1,0,11.33
0.76,661.5,416.5,122.5,7,0,0,1,0,1.25,0,1,0,0,0,0,36.91
0.76,661.5,416.5,122.5,7,0,1,0,0,1.1,0,0,1,0,0,0,32.4
0.62,808.5,367.5,220.5,3.5,0,1,0,0,1.25,0,0,1,0,0,0,14.66
0.64,784,343,220.5,3.5,0,1,0,0,1.4,0,0,0,0,1,0,19.13
0.71,710.5,269.5,220.5,3.5,0,1,0,0,1.1,0,0,1,0,0,0,10.72
0.62,808.5,367.5,220.5,3.5,0,0,1,0,1.1,0,0,0,0,1,0,13
0.69,735,294,220.5,3.5,1,0,0,0,1.1,0,1,0,0,0,0,11.11
0.69,735,294,220.5,3.5,0,0,1,0,1.4,0,0,0,0,1,0,14.53
0.86,588,294,147,7,0,0,1,0,1.1,0,0,0,0,1,0,26.33
0.86,588,294,147,7,0,0,0,1,1.4,0,0,0,1,0,0,31.84
0.76,661.5,416.5,122.5,7,0,0,1,0,1.4,0,0,0,0,1,0,40.6
0.79,637,343,147,7,0,0,0,1,1.1,0,0,1,0,0,0,36.03
0.98,514.5,294,110.25,7,0,0,1,0,1.25,0,0,0,0,0,1,28.15
0.79,637,343,147,7,0,1,0,0,1.25,0,0,0,1,0,0,38.35
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1.25,0,0,0,0,1,0,12.36
0.98,514.5,294,110.25,7,0,0,0,1,1.25,0,0,1,0,0,0,28.6
0.71,710.5,269.5,220.5,3.5,0,1,0,0,1.4,0,0,0,0,0,1,12.63
0.71,710.5,269.5,220.5,3.5,0,0,0,1,1.4,0,0,1,0,0,0,14.71
0.76,661.5,416.5,122.5,7,0,1,0,0,1.25,0,0,0,0,0,1,36.64
0.62,808.5,367.5,220.5,3.5,1,0,0,0,1.1,0,0,1,0,0,0,12.88
0.98,514.5,294,110.25,7,0,1,0,0,1.25,0,0,0,0,1,0,28.55
0.9,563.5,318.5,122.5,7,0,1,0,0,1.4,0,0,0,0,0,1,35.01
0.79,637,343,147,7,1,0,0,0,1.25,0,1,0,0,0,0,38.67
0.69,735,294,220.5,3.5,1,0,0,0,1.4,0,0,0,0,1,0,14.54
0.66,759.5,318.5,220.5,3.5,1,0,0,0,1.4,0,1,0,0,0,0,15.23
0.62,808.5,367.5,220.5,3.5,0,0,0,1,1,1,0,0,0,0,0,8.5
0.66,759.5,318.5,220.5,3.5,0,0,0,1,1.25,0,0,0,0,1,0,12.92
0.74,686,245,220.5,3.5,0,0,0,1,1.4,0,0,0,0,1,0,14.44
0.86,588,294,147,7,0,0,1,0,1.25,0,1,0,0,0,0,29.6
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1.25,0,0,0,0,0,1,12.27
0.79,637,343,147,7,0,0,0,1,1,1,0,0,0,0,0,28.75
0.79,637,343,147,7,0,0,1,0,1.1,0,0,0,0,1,0,35.45
0.9,563.5,318.5,122.5,7,0,1,0,0,1.25,0,0,1,0,0,0,33.27
0.62,808.5,367.5,220.5,3.5,0,0,1,0,1.25,0,0,1,0,0,0,14.6
0.76,661.5,416.5,122.5,7,1,0,0,0,1.25,0,0,1,0,0,0,36.95
0.79,637,343,147,7,0,0,0,1,1.1,0,0,0,0,1,0,37.1
0.79,637,343,147,7,1,0,0,0,1.4,0,0,0,1,0,0,41.26
0.76,661.5,416.5,122.5,7,0,0,0,1,1.4,0,0,0,0,0,1,39.86
0.9,563.5,318.5,122.5,7,0,0,0,1,1.4,0,0,1,0,0,0,35.69
0.69,735,294,220.5,3.5,0,0,1,0,1.4,0,0,0,0,0,1,14.37
0.66,759.5,318.5,220.5,3.5,0,0,0,1,1.25,0,0,1,0,0,0,13
0.98,514.5,294,110.25,7,0,0,1,0,1.25,0,0,0,0,1,0,28.15
0.98,514.5,294,110.25,7,0,0,1,0,1.1,0,0,0,1,0,0,24.11
0.79,637,343,147,7,0,0,1,0,1.4,0,0,1,0,0,0,42.74
0.64,784,343,220.5,3.5,0,1,0,0,1.4,0,0,0,0,0,1,18.19
0.76,661.5,416.5,122.5,7,0,0,1,0,1.4,0,0,0,1,0,0,38.89
0.69,735,294,220.5,3.5,0,1,0,0,1.25,0,0,1,0,0,0,12.87
0.74,686,245,220.5,3.5,0,1,0,0,1.1,0,0,0,1,0,0,10.34
0.66,759.5,318.5,220.5,3.5,0,0,0,1,1.1,0,0,0,1,0,0,11.61
0.62,808.5,367.5,220.5,3.5,0,0,1,0,1.25,0,1,0,0,0,0,15.08
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1.1,0,0,0,1,0,0,10.77
0.64,784,343,220.5,3.5,0,0,0,1,1.4,0,0,1,0,0,0,19.12
0.76,661.5,416.5,122.5,7,0,0,1,0,1.1,0,0,1,0,0,0,33.12
0.69,735,294,220.5,3.5,1,0,0,0,1,1,0,0,0,0,0,6.85
0.82,612.5,318.5,147,7,1,0,0,0,1,1,0,0,0,0,0,17.05
0.69,735,294,220.5,3.5,0,0,0,1,1.1,0,0,0,0,0,1,11.16
0.74,686,245,220.5,3.5,1,0,0,0,1.1,0,0,0,0,0,1,10.47
0.76,661.5,416.5,122.5,7,0,1,0,0,1.4,0,0,0,0,0,1,39.72
0.62,808.5,367.5,220.5,3.5,0,1,0,0,1.1,0,0,1,0,0,0,13
0.82,612.5,318.5,147,7,0,0,1,0,1.25,0,0,0,0,1,0,25.43
0.74,686,245,220.5,3.5,1,0,0,0,1.25,0,0,1,0,0,0,12.35
0.9,563.5,318.5,122.5,7,0,1,0,0,1.25,0,0,0,1,0,0,32.4
0.86,588,294,147,7,0,1,0,0,1.4,0,0,0,1,0,0,32.12
0.98,514.5,294,110.25,7,1,0,0,0,1.4,0,0,0,0,1,0,32.85
0.69,735,294,220.5,3.5,0,1,0,0,1.1,0,0,0,0,1,0,11.22
0.98,514.5,294,110.25,7,1,0,0,0,1.4,0,1,0,0,0,0,32.26
0.74,686,245,220.5,3.5,0,1,0,0,1.25,0,0,1,0,0,0,12.45
0.76,661.5,416.5,122.5,7,0,0,1,0,1.4,0,0,1,0,0,0,40.57
0.82,612.5,318.5,147,7,0,0,1,0,1.4,0,0,1,0,0,0,28.64
0.74,686,245,220.5,3.5,0,1,0,0,1,1,0,0,0,0,0,6.05
0.76,661.5,416.5,122.5,7,0,1,0,0,1.25,0,1,0,0,0,0,36.13
0.76,661.5,416.5,122.5,7,0,1,0,0,1.25,0,0,1,0,0,0,36.28
0.69,735,294,220.5,3.5,1,0,0,0,1.25,0,0,0,1,0,0,12.34
0.69,735,294,220.5,3.5,0,1,0,0,1,1,0,0,0,0,0,6.79
0.74,686,245,220.5,3.5,0,1,0,0,1.1,0,1,0,0,0,0,10.43
0.71,710.5,269.5,220.5,3.5,0,1,0,0,1.4,0,0,1,0,0,0,14.66
0.66,759.5,318.5,220.5,3.5,0,0,0,1,1.4,0,1,0,0,0,0,15.23
0.66,759.5,318.5,220.5,3.5,0,1,0,0,1.4,0,0,0,0,1,0,15.29
0.76,661.5,416.5,122.5,7,0,1,0,0,1.1,0,0,0,0,1,0,32.38
0.71,710.5,269.5,220.5,3.5,0,0,0,1,1.25,0,1,0,0,0,0,12.63
0.76,661.5,416.5,122.5,7,0,0,0,1,1.4,0,0,0,0,1,0,40.11
0.64,784,343,220.5,3.5,0,0,0,1,1.1,0,0,1,0,0,0,15.19
0.62,808.5,367.5,220.5,3.5,0,1,0,0,1.25,0,0,0,0,1,0,14.61
0.86,588,294,147,7,1,0,0,0,1.25,0,0,0,1,0,0,28.4
0.66,759.5,318.5,220.5,3.5,1,0,0,0,1.1,0,0,0,0,1,0,11.44
0.98,514.5,294,110.25,7,0,0,0,1,1.4,0,0,0,1,0,0,32.75
0.71,710.5,269.5,220.5,3.5,0,0,0,1,1.25,0,0,0,0,0,1,12.27
0.64,784,343,220.5,3.5,0,0,1,0,1.1,0,0,1,0,0,0,15.34
0.9,563.5,318.5,122.5,7,0,0,1,0,1.25,0,0,0,0,1,0,32.07
0.69,735,294,220.5,3.5,1,0,0,0,1.25,0,1,0,0,0,0,12.78
0.9,563.5,318.5,122.5,7,0,0,0,1,1.1,0,0,1,0,0,0,27.9
0.9,563.5,318.5,122.5,7,1,0,0,0,1.4,0,0,0,0,1,0,36.45
0.9,563.5,318.5,122.5,7,0,0,0,1,1.1,0,0,0,0,0,1,29.02
0.66,759.5,318.5,220.5,3.5,0,0,0,1,1.4,0,0,0,0,1,0,15.3
0.79,637,343,147,7,0,1,0,0,1.25,0,1,0,0,0,0,40.03
0.79,637,343,147,7,1,0,0,0,1,1,0,0,0,0,0,28.52
0.62,808.5,367.5,220.5,3.5,0,0,0,1,1.1,0,0,0,0,0,1,12.62
0.69,735,294,220.5,3.5,0,0,1,0,1.1,0,0,1,0,0,0,11.32
0.82,612.5,318.5,147,7,1,0,0,0,1.1,0,0,0,0,1,0,23.8
0.98,514.5,294,110.25,7,0,1,0,0,1,1,0,0,0,0,0,15.55
0.69,735,294,220.5,3.5,0,1,0,0,1.1,0,1,0,0,0,0,11.13
0.98,514.5,294,110.25,7,1,0,0,0,1.1,0,0,0,1,0,0,24.28
0.86,588,294,147,7,0,1,0,0,1.25,0,0,0,0,0,1,29.09
0.86,588,294,147,7,0,1,0,0,1.1,0,0,0,1,0,0,26.47
0.71,710.5,269.5,220.5,3.5,0,1,0,0,1.4,0,1,0,0,0,0,14.6
0.64,784,343,220.5,3.5,0,0,1,0,1.25,0,1,0,0,0,0,17.52
0.64,784,343,220.5,3.5,0,1,0,0,1.1,0,1,0,0,0,0,15.2
0.79,637,343,147,7,0,0,0,1,1.4,0,0,0,0,0,1,40.79
0.98,514.5,294,110.25,7,0,1,0,0,1.25,0,0,0,0,0,1,28.58
0.9,563.5,318.5,122.5,7,1,0,0,0,1.4,0,0,0,0,0,1,35.67
0.98,514.5,294,110.25,7,1,0,0,0,1.1,0,0,1,0,0,0,24.29
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1.1,0,0,0,0,0,1,10.78
0.66,759.5,318.5,220.5,3.5,1,0,0,0,1.1,0,0,0,0,0,1,11.38
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1.4,0,0,0,0,1,0,14.6
0.69,735,294,220.5,3.5,0,0,1,0,1.1,0,1,0,0,0,0,11.09
0.76,661.5,416.5,122.5,7,1,0,0,0,1.25,0,0,0,0,0,1,35.69
0.62,808.5,367.5,220.5,3.5,0,0,0,1,1.4,0,0,0,1,0,0,16.74
0.82,612.5,318.5,147,7,0,0,0,1,1.25,0,0,0,0,0,1,25.49
0.71,710.5,269.5,220.5,3.5,0,0,1,0,1.25,0,0,0,0,1,0,12.17
0.86,588,294,147,7,0,0,1,0,1.1,0,0,0,1,0,0,26.89
0.86,588,294,147,7,1,0,0,0,1,1,0,0,0,0,0,19.5
0.98,514.5,294,110.25,7,1,0,0,0,1.25,0,0,1,0,0,0,28.67
0.69,735,294,220.5,3.5,0,0,1,0,1.25,0,0,0,0,0,1,12.18
0.69,735,294,220.5,3.5,0,0,0,1,1.4,0,1,0,0,0,0,14.42
0.86,588,294,147,7,0,0,0,1,1.1,0,0,0,0,0,1,26.45
0.64,784,343,220.5,3.5,0,0,0,1,1.1,0,0,0,0,0,1,15.36
0.86,588,294,147,7,0,1,0,0,1.25,0,0,0,0,1,0,28.42
0.9,563.5,318.5,122.5,7,0,1,0,0,1,1,0,0,0,0,0,21.46
0.62,808.5,367.5,220.5,3.5,0,0,0,1,1.25,0,0,0,0,1,0,14.65
0.66,759.5,318.5,220.5,3.5,1,0,0,0,1.25,0,0,0,0,0,1,12.93
0.66,759.5,318.5,220.5,3.5,1,0,0,0,1.1,0,0,0,1,0,0,11.59
0.62,808.5,367.5,220.5,3.5,1,0,0,0,1.25,0,0,0,0,0,1,13.68
0.64,784,343,220.5,3.5,0,0,1,0,1.1,0,0,0,0,0,1,15.12
0.64,784,343,220.5,3.5,0,0,1,0,1.4,0,1,0,0,0,0,19.48
0.69,735,294,220.5,3.5,0,0,1,0,1.25,0,0,1,0,0,0,12.73
0.74,686,245,220.5,3.5,0,0,0,1,1.1,0,0,0,0,1,0,10.14
0.76,661.5,416.5,122.5,7,0,0,0,1,1.1,0,0,0,0,0,1,33.27
0.71,710.5,269.5,220.5,3.5,0,0,0,1,1.25,0,0,1,0,0,0,12.49
0.62,808.5,367.5,220.5,3.5,1,0,0,0,1.4,0,0,0,1,0,0,16.47
0.76,661.5,416.5,122.5,7,1,0,0,0,1.4,0,0,1,0,0,0,40.78
0.86,588,294,147,7,0,0,0,1,1.4,0,1,0,0,0,0,31.29
0.66,759.5,318.5,220.5,3.5,0,0,1,0,1.25,0,0,1,0,0,0,12.77
0.9,563.5,318.5,122.5,7,0,0,0,1,1.25,0,0,0,0,0,1,32.46
0.79,637,343,147,7,0,0,1,0,1.25,0,1,0,0,0,0,39.86
0.66,759.5,318.5,220.5,3.5,1,0,0,0,1.25,0,1,0,0,0,0,13.17
0.74,686,245,220.5,3.5,0,0,0,1,1.25,0,0,0,0,0,1,12.02
0.64,784,343,220.5,3.5,1,0,0,0,1.25,0,0,1,0,0,0,17.14
0.66,759.5,318.5,220.5,3.5,1,0,0,0,1.4,0,0,1,0,0,0,15.34
0.74,686,245,220.5,3.5,0,1,0,0,1.1,0,0,0,0,1,0,10.15
0.69,735,294,220.5,3.5,0,0,0,1,1.4,0,0,0,0,1,0,14.71
0.64,784,343,220.5,3.5,0,0,1,0,1.25,0,0,0,0,1,0,16.56
0.74,686,245,220.5,3.5,1,0,0,0,1.1,0,0,0,1,0,0,10.39
0.82,612.5,318.5,147,7,1,0,0,0,1.1,0,1,0,0,0,0,23.53
0.64,784,343,220.5,3.5,0,1,0,0,1.1,0,0,0,0,1,0,15.19
0.66,759.5,318.5,220.5,3.5,0,0,0,1,1.4,0,0,1,0,0,0,15.3
0.79,637,343,147,7,1,0,0,0,1.25,0,0,0,0,0,1,39.89
0.74,686,245,220.5,3.5,0,1,0,0,1.25,0,0,0,0,1,0,12.3
0.82,612.5,318.5,147,7,1,0,0,0,1.25,0,1,0,0,0,0,26.84
0.9,563.5,318.5,122.5,7,0,0,1,0,1.4,0,0,0,0,1,0,35.4
0.9,563.5,318.5,122.5,7,0,0,1,0,1.25,0,1,0,0,0,0,32.84
0.9,563.5,318.5,122.5,7,1,0,0,0,1.25,0,0,0,0,0,1,33.13
0.69,735,294,220.5,3.5,0,0,1,0,1.25,0,1,0,0,0,0,12.73
0.86,588,294,147,7,1,0,0,0,1.25,0,1,0,0,0,0,29.54
0.74,686,245,220.5,3.5,0,1,0,0,1.4,0,0,0,0,1,0,14.48
0.71,710.5,269.5,220.5,3.5,0,1,0,0,1.25,0,0,0,1,0,0,12.28
0.86,588,294,147,7,0,0,0,1,1.1,0,1,0,0,0,0,25.27
0.98,514.5,294,110.25,7,0,1,0,0,1.4,0,1,0,0,0,0,32.26
0.79,637,343,147,7,0,1,0,0,1.4,0,0,1,0,0,0,43.1
0.71,710.5,269.5,220.5,3.5,0,0,0,1,1.25,0,0,0,0,1,0,12.28
0.86,588,294,147,7,0,1,0,0,1.1,0,0,0,0,1,0,25.37
0.79,637,343,147,7,0,0,1,0,1.1,0,0,1,0,0,0,36.97
0.86,588,294,147,7,1,0,0,0,1.1,0,0,0,0,1,0,26.44
0.64,784,343,220.5,3.5,0,0,1,0,1.4,0,0,1,0,0,0,18.9
0.71,710.5,269.5,220.5,3.5,0,0,0,1,1.1,0,0,1,0,0,0,10.68
0.82,612.5,318.5,147,7,0,0,0,1,1.4,0,0,0,0,0,1,29.92
0.9,563.5,318.5,122.5,7,0,0,1,0,1.4,0,1,0,0,0,0,36.66
0.71,710.5,269.5,220.5,3.5,0,0,1,0,1.25,0,0,0,1,0,0,12.1
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1.25,0,1,0,0,0,0,12.57
0.69,735,294,220.5,3.5,0,1,0,0,1.4,0,0,1,0,0,0,14.71
0.74,686,245,220.5,3.5,0,0,1,0,1.1,0,0,0,0,0,1,10.34
0.98,514.5,294,110.25,7,0,1,0,0,1.4,0,0,0,0,0,1,32.72
0.71,710.5,269.5,220.5,3.5,0,0,0,1,1,1,0,0,0,0,0,6.4
0.98,514.5,294,110.25,7,1,0,0,0,1.4,0,0,0,1,0,0,32.82
0.66,759.5,318.5,220.5,3.5,0,0,1,0,1.4,0,0,0,0,1,0,15.09
0.71,710.5,269.5,220.5,3.5,0,0,1,0,1.4,0,1,0,0,0,0,14.5
0.82,612.5,318.5,147,7,0,0,0,1,1.25,0,1,0,0,0,0,26.19
0.64,784,343,220.5,3.5,1,0,0,0,1.25,0,0,0,1,0,0,16.83
0.69,735,294,220.5,3.5,1,0,0,0,1.1,0,0,0,0,0,1,11.21
0.74,686,245,220.5,3.5,1,0,0,0,1.4,0,0,0,1,0,0,13.97
0.82,612.5,318.5,147,7,0,0,1,0,1.25,0,0,0,0,0,1,24.6
0.79,637,343,147,7,0,0,1,0,1.4,0,0,0,0,0,1,41.09
0.76,661.5,416.5,122.5,7,0,0,1,0,1.1,0,0,0,0,0,1,32.46
0.9,563.5,318.5,122.5,7,1,0,0,0,1.4,0,0,1,0,0,0,35.84
0.82,612.5,318.5,147,7,0,1,0,0,1,1,0,0,0,0,0,17.41
0.98,514.5,294,110.25,7,1,0,0,0,1.25,0,1,0,0,0,0,28.15
0.82,612.5,318.5,147,7,0,0,0,1,1.25,0,0,0,0,1,0,26
0.98,514.5,294,110.25,7,0,0,0,1,1.25,0,0,0,0,1,0,28.62
0.79,637,343,147,7,0,0,1,0,1.25,0,0,0,0,0,1,39.01
0.66,759.5,318.5,220.5,3.5,0,1,0,0,1.1,0,0,0,1,0,0,11.6
0.74,686,245,220.5,3.5,0,0,0,1,1.1,0,1,0,0,0,0,10.39
0.98,514.5,294,110.25,7,1,0,0,0,1.1,0,0,0,0,0,1,24.35
0.98,514.5,294,110.25,7,0,0,0,1,1.1,0,0,0,0,0,1,24.26
0.76,661.5,416.5,122.5,7,0,0,0,1,1.4,0,0,0,1,0,0,39.68
0.76,661.5,416.5,122.5,7,0,0,1,0,1.25,0,0,0,1,0,0,35.64
0.64,784,343,220.5,3.5,0,1,0,0,1.1,0,0,1,0,0,0,15.18
0.74,686,245,220.5,3.5,0,1,0,0,1.4,0,0,0,0,0,1,14.19
0.64,784,343,220.5,3.5,0,0,0,1,1.1,0,1,0,0,0,0,15.21
0.79,637,343,147,7,0,1,0,0,1.25,0,0,1,0,0,0,40.19
0.64,784,343,220.5,3.5,1,0,0,0,1.25,0,0,0,0,0,1,16.73
0.64,784,343,220.5,3.5,0,1,0,0,1.4,0,0,0,1,0,0,18.71
0.64,784,343,220.5,3.5,1,0,0,0,1.4,0,0,1,0,0,0,19.2
0.74,686,245,220.5,3.5,0,0,1,0,1.4,0,0,0,1,0,0,14.1
0.69,735,294,220.5,3.5,0,1,0,0,1.25,0,1,0,0,0,0,12.93
0.64,784,343,220.5,3.5,1,0,0,0,1,1,0,0,0,0,0,10.85
0.69,735,294,220.5,3.5,0,0,1,0,1.25,0,0,0,0,1,0,12.67
