relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation_2,orientation_3,orientation_4,orientation_5,glazing_area_modified,glazing_dist_1,glazing_dist_2,glazing_dist_3,glazing_dist_4,glazing_dist_5,glazing_dist_6,heating_load
0.64,784,343,220.5,3.5,0,0,1,0,1.25,0,0,0,0,0,1,16.76
0.79,637,343,147,7,0,0,0,1,1.25,0,0,0,1,0,0,39.83
0.76,661.5,416.5,122.5,7,0,0,1,0,1.1,0,0,0,1,0,0,32.33
0.74,686,245,220.5,3.5,1,0,0,0,1.4,0,0,0,0,1,0,14.37
0.82,612.5,318.5,147,7,0,0,1,0,1.1,0,0,0,0,1,0,23.59
0.9,563.5,318.5,122.5,7,0,0,1,0,1.1,0,0,0,0,1,0,28.86
0.66,759.5,318.5,220.5,3.5,0,0,1,0,1.4,0,0,0,1,0,0,14.72
0.86,588,294,147,7,0,0,1,0,1.4,0,0,0,0,0,1,31.12
0.86,588,294,147,7,1,0,0,0,1.4,0,1,0,0,0,0,31.89
0.66,759.5,318.5,220.5,3.5,1,0,0,0,1.4,0,0,0,1,0,0,15.16
0.62,808.5,367.5,220.5,3.5,1,0,0,0,1.4,0,0,0,0,1,0,16.44
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1.4,0,0,1,0,0,0,14.7
0.66,759.5,318.5,220.5,3.5,0,1,0,0,1.25,0,0,0,0,1,0,13
0.64,784,343,220.5,3.5,0,1,0,0,1.1,0,0,0,0,0,1,15.37
0.64,784,343,220.5,3.5,1,0,0,0,1.1,0,1,0,0,0,0,15.41
0.66,759.5,318.5,220.5,3.5,1,0,0,0,1.4,0,0,0,0,1,0,15.34
0.82,612.5,318.5,147,7,1,0,0,0,1.25,0,0,0,1,0,0,24.7
0.79,637,343,147,7,0,0,1,0,1.4,0,0,0,0,1,0,41.32
0.64,784,343,220.5,3.5,0,1,0,0,1.25,0,0,1,0,0,0,16.84
0.82,612.5,318.5,147,7,0,0,0,1,1.1,0,0,0,0,0,1,23.86
0.82,612.5,318.5,147,7,0,0,1,0,1.4,0,1,0,0,0,0,29.53
0.9,563.5,318.5,122.5,7,0,1,0,0,1.4,0,0,0,0,1,0,35.73
0.71,710.5,269.5,220.5,3.5,0,1,0,0,1,1,0,0,0,0,0,6.4
0.71,710.5,269.5,220.5,3.5,0,0,0,1,1.4,0,1,0,0,0,0,14.58
0.9,563.5,318.5,122.5,7,0,0,1,0,1.1,0,1,0,0,0,0,29.14
0.86,588,294,147,7,0,1,0,0,1.4,0,0,0,0,1,0,31.66
0.76,661.5,416.5,122.5,7,0,0,1,0,1.25,0,0,1,0,0,0,36.86
0.69,735,294,220.5,3.5,0,0,0,1,1.25,0,0,0,0,1,0,12.86
0.62,808.5,367.5,220.5,3.5,0,0,1,0,1.25,0,0,0,0,1,0,14.61
0.62,808.5,367.5,220.5,3.5,1,0,0,0,1.4,0,0,1,0,0,0,16.76
0.98,514.5,294,110.25,7,0,1,0,0,1.1,0,1,0,0,0,0,24.63
0.98,514.5,294,110.25,7,0,0,0,1,1.25,0,1,0,0,0,0,28.41
0.86,588,294,147,7,0,1,0,0,1,1,0,0,0,0,0,19.95
0.86,588,294,147,7,0,0,1,0,1,1,0,0,0,0,0,19.34
0.62,808.5,367.5,220.5,3.5,1,0,0,0,1.1,0,0,0,1,0,0,12.68
0.66,759.5,318.5,220.5,3.5,1,0,0,0,1.25,0,0,0,0,1,0,12.95
0.82,612.5,318.5,147,7,0,1,0,0,1.25,0,0,0,0,1,0,24.96
0.79,637,343,147,7,0,1,0,0,1.1,0,0,0,1,0,0,35.48
0.98,514.5,294,110.25,7,0,0,0,1,1.25,0,0,0,0,0,1,28.61
0.82,612.5,318.5,147,7,0,1,0,0,1.4,0,0,0,0,0,1,29.5
0.64,784,343,220.5,3.5,0,0,0,1,1.25,0,0,0,0,1,0,16.62
0.86,588,294,147,7,0,0,0,1,1.25,0,0,0,0,1,0,29.88
0.74,686,245,220.5,3.5,0,0,0,1,1.1,0,0,0,0,0,1,10.39
0.98,514.5,294,110.25,7,0,0,0,1,1.4,0,0,0,0,1,0,32.74
0.76,661.5,416.5,122.5,7,0,0,0,1,1.1,0,1,0,0,0,0,32.21
0.74,686,245,220.5,3.5,0,0,0,1,1.4,0,0,0,1,0,0,13.78
0.79,637,343,147,7,0,0,1,0,1.1,0,0,0,0,0,1,36.77
0.74,686,245,220.5,3.5,0,1,0,0,1.4,0,0,0,1,0,0,14.22
0.64,784,343,220.5,3.5,0,0,0,1,1.4,0,0,0,0,1,0,18.84
0.62,808.5,367.5,220.5,3.5,1,0,0,0,1.4,0,1,0,0,0,0,15.09
0.62,808.5,367.5,220.5,3.5,0,0,0,1,1.25,0,0,0,1,0,0,13.99
0.98,514.5,294,110.25,7,0,0,0,1,1.1,0,0,0,0,1,0,24.32
0.98,514.5,294,110.25,7,0,0,1,0,1.1,0,0,1,0,0,0,24.13
0.62,808.5,367.5,220.5,3.5,0,0,0,1,1.25,0,0,1,0,0,0,14.6
0.64,784,343,220.5,3.5,1,0,0,0,1.1,0,0,0,0,1,0,15.4
0.86,588,294,147,7,0,1,0,0,1.4,0,0,1,0,0,0,32.74
0.62,808.5,367.5,220.5,3.5,0,0,0,1,1.1,0,1,0,0,0,0,13.02
0.86,588,294,147,7,0,1,0,0,1.4,0,1,0,0,0,0,32.39
0.69,735,294,220.5,3.5,0,1,0,0,1.1,0,0,0,0,0,1,11.14
0.74,686,245,220.5,3.5,0,1,0,0,1.4,0,1,0,0,0,0,14.61
0.71,710.5,269.5,220.5,3.5,0,0,0,1,1.1,0,0,0,0,1,0,10.72
0.69,735,294,220.5,3.5,0,1,0,0,1.1,0,0,1,0,0,0,11.46
0.79,637,343,147,7,0,0,0,1,1.4,0,0,0,0,1,0,42.96
0.86,588,294,147,7,0,0,0,1,1.4,0,0,1,0,0,0,31.64
0.79,637,343,147,7,0,1,0,0,1.4,0,0,0,0,0,1,41.96
0.76,661.5,416.5,122.5,7,0,0,0,1,1.25,0,1,0,0,0,0,36.43
0.66,759.5,318.5,220.5,3.5,0,0,0,1,1.4,0,0,0,1,0,0,14.9
0.9,563.5,318.5,122.5,7,0,0,1,0,1.1,0,0,0,1,0,0,29.62
0.69,735,294,220.5,3.5,0,0,0,1,1.25,0,0,1,0,0,0,12.95
0.86,588,294,147,7,0,0,1,0,1.25,0,0,0,0,1,0,29.08
0.79,637,343,147,7,1,0,0,0,1.4,0,1,0,0,0,0,41.4
0.76,661.5,416.5,122.5,7,0,0,1,0,1.4,0,1,0,0,0,0,40.71
0.82,612.5,318.5,147,7,0,1,0,0,1.1,0,0,0,1,0,0,23.84
0.79,637,343,147,7,0,0,0,1,1.4,0,1,0,0,0,0,41.67
0.76,661.5,416.5,122.5,7,0,1,0,0,1.4,0,0,1,0,0,0,40.15
0.69,735,294,220.5,3.5,1,0,0,0,1.25,0,0,0,0,0,1,12.47
0.9,563.5,318.5,122.5,7,1,0,0,0,1.1,0,1,0,0,0,0,29.03
0.71,710.5,269.5,220.5,3.5,0,0,1,0,1,1,0,0,0,0,0,6.37
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1.1,0,1,0,0,0,0,10.71
0.69,735,294,220.5,3.5,0,0,0,1,1.25,0,1,0,0,0,0,12.72
0.71,710.5,269.5,220.5,3.5,0,0,1,0,1.1,0,0,0,1,0,0,10.68
0.74,686,245,220.5,3.5,0,0,0,1,1.4,0,1,0,0,0,0,14.55
0.74,686,245,220.5,3.5,1,0,0,0,1.4,0,0,1,0,0,0,14.54
0.71,710.5,269.5,220.5,3.5,0,1,0,0,1.25,0,1,0,0,0,0,12.65
0.64,784,343,220.5,3.5,0,0,1,0,1.25,0,0,1,0,0,0,17.02
0.76,661.5,416.5,122.5,7,1,0,0,0,1.4,0,0,0,0,0,1,38.82
0.9,563.5,318.5,122.5,7,0,1,0,0,1.1,0,1,0,0,0,0,29.87
0.86,588,294,147,7,0,1,0,0,1.1,0,1,0,0,0,0,26.91
0.86,588,294,147,7,0,1,0,0,1.1,0,0,1,0,0,0,27.02
0.64,784,343,220.5,3.5,0,1,0,0,1.25,0,0,0,0,0,1,16.86
0.69,735,294,220.5,3.5,0,1,0,0,1.4,0,0,0,1,0,0,14.56
0.64,784,343,220.5,3.5,0,0,0,1,1.25,0,0,0,1,0,0,16.86
0.74,686,245,220.5,3.5,0,0,1,0,1,1,0,0,0,0,0,6.01
0.9,563.5,318.5,122.5,7,1,0,0,0,1.1,0,0,1,0,0,0,28.88
0.76,661.5,416.5,122.5,7,1,0,0,0,1.4,0,1,0,0,0,0,40.78
0.76,661.5,416.5,122.5,7,0,0,0,1,1.4,0,0,1,0,0,0,40.42
0.66,759.5,318.5,220.5,3.5,0,0,0,1,1.4,0,0,0,0,0,1,15.16
0.76,661.5,416.5,122.5,7,0,0,1,0,1,1,0,0,0,0,0,24.77
0.86,588,294,147,7,0,1,0,0,1.1,0,0,0,0,0,1,26.45
0.66,759.5,318.5,220.5,3.5,0,1,0,0,1.25,0,0,1,0,0,0,12.93
0.62,808.5,367.5,220.5,3.5,1,0,0,0,1.1,0,0,0,0,0,1,12.59
0.98,514.5,294,110.25,7,0,1,0,0,1.25,0,0,0,1,0,0,28.56
0.64,784,343,220.5,3.5,0,0,0,1,1,1,0,0,0,0,0,10.56
0.98,514.5,294,110.25,7,0,0,0,1,1,1,0,0,0,0,0,15.55
0.66,759.5,318.5,220.5,3.5,0,1,0,0,1.25,0,0,0,1,0,0,13.01
0.79,637,343,147,7,0,0,0,1,1.1,0,0,0,1,0,0,36.7
0.62,808.5,367.5,220.5,3.5,1,0,0,0,1.25,0,0,0,0,1,0,14.33
0.82,612.5,318.5,147,7,0,1,0,0,1.25,0,1,0,0,0,0,27.27
0.82,612.5,318.5,147,7,0,0,0,1,1.4,0,0,0,0,1,0,29.52
0.86,588,294,147,7,0,0,1,0,1.25,0,0,0,0,0,1,28.31
0.82,612.5,318.5,147,7,0,0,1,0,1.25,0,1,0,0,0,0,26.97
0.76,661.5,416.5,122.5,7,0,0,0,1,1.25,0,0,0,1,0,0,36.52
0.98,514.5,294,110.25,7,0,1,0,0,1.4,0,0,1,0,0,0,32.71
0.82,612.5,318.5,147,7,1,0,0,0,1.4,0,0,0,0,1,0,28.93
0.79,637,343,147,7,0,0,1,0,1.25,0,0,0,1,0,0,39.81
0.79,637,343,147,7,0,0,0,1,1.1,0,0,0,0,0,1,35.48
0.9,563.5,318.5,122.5,7,0,0,0,1,1.4,0,0,0,0,1,0,36.57
0.74,686,245,220.5,3.5,1,0,0,0,1.1,0,1,0,0,0,0,10.36
0.9,563.5,318.5,122.5,7,0,0,1,0,1.4,0,0,1,0,0,0,36.06
0.62,808.5,367.5,220.5,3.5,0,0,1,0,1.1,0,0,1,0,0,0,12.97
0.86,588,294,147,7,1,0,0,0,1.25,0,0,0,0,1,0,29.47
0.69,735,294,220.5,3.5,0,1,0,0,1.1,0,0,0,1,0,0,11.16
0.86,588,294,147,7,0,0,0,1,1.4,0,0,0,0,0,1,32.06
0.9,563.5,318.5,122.5,7,0,0,1,0,1.1,0,0,1,0,0,0,28.83
0.69,735,294,220.5,3.5,0,1,0,0,1.25,0,0,0,0,1,0,12.95
0.79,637,343,147,7,0,0,1,0,1.25,0,0,0,0,1,0,38.33
0.74,686,245,220.5,3.5,0,0,1,0,1.25,0,0,0,1,0,0,11.98
0.64,784,343,220.5,3.5,0,0,0,1,1.1,0,0,0,0,1,0,15.16
0.98,514.5,294,110.25,7,1,0,0,0,1.1,0,1,0,0,0,0,24.58
0.64,784,343,220.5,3.5,1,0,0,0,1.4,0,0,0,0,0,1,17.69
0.74,686,245,220.5,3.5,0,0,1,0,1.25,0,0,1,0,0,0,12.16
0.82,612.5,318.5,147,7,0,0,0,1,1.25,0,0,0,1,0,0,25.17
0.9,563.5,318.5,122.5,7,1,0,0,0,1,1,0,0,0,0,0,20.84
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1.4,0,0,0,0,0,1,12.43
0.82,612.5,318.5,147,7,0,1,0,0,1.1,0,1,0,0,0,0,24.03
0.69,735,294,220.5,3.5,0,0,1,0,1.4,0,1,0,0,0,0,14.42
0.9,563.5,318.5,122.5,7,0,0,1,0,1.25,0,0,0,0,0,1,31.53
0.74,686,245,220.5,3.5,1,0,0,0,1.25,0,0,0,0,1,0,12.32
0.86,588,294,147,7,0,0,1,0,1.4,0,0,0,0,1,0,32.15
0.66,759.5,318.5,220.5,3.5,0,0,0,1,1.1,0,0,0,0,0,1,11.34
0.74,686,245,220.5,3.5,0,1,0,0,1.25,0,1,0,0,0,0,12.5
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1.1,0,0,1,0,0,0,10.64
0.76,661.5,416.5,122.5,7,1,0,0,0,1.4,0,0,0,0,1,0,40.68
0.98,514.5,294,110.25,7,0,1,0,0,1.1,0,0,0,0,1,0,24.23
0.9,563.5,318.5,122.5,7,0,1,0,0,1.1,0,0,0,0,0,1,29.08
0.62,808.5,367.5,220.5,3.5,0,1,0,0,1.25,0,0,0,0,0,1,13.99
0.74,686,245,220.5,3.5,1,0,0,0,1.1,0,0,1,0,0,0,10.42
0.66,759.5,318.5,220.5,3.5,0,1,0,0,1.4,0,0,0,1,0,0,15.18
0.98,514.5,294,110.25,7,0,0,1,0,1.1,0,1,0,0,0,0,24.63
0.76,661.5,416.5,122.5,7,0,0,1,0,1.4,0,0,0,0,0,1,39.31
0.9,563.5,318.5,122.5,7,0,0,0,1,1.1,0,0,0,1,0,0,29.05
0.69,735,294,220.5,3.5,1,0,0,0,1.4,0,0,0,1,0,0,14.32
0.76,661.5,416.5,122.5,7,0,0,0,1,1.1,0,0,1,0,0,0,32.41
0.9,563.5,318.5,122.5,7,0,0,0,1,1.25,0,0,0,0,1,0,33.28
0.71,710.5,269.5,220.5,3.5,0,0,0,1,1.1,0,1,0,0,0,0,10.75
0.76,661.5,416.5,122.5,7,1,0,0,0,1.1,0,0,0,1,0,0,32.52
0.79,637,343,147,7,0,1,0,0,1.1,0,0,0,0,0,1,36.71
0.69,735,294,220.5,3.5,1,0,0,0,1.4,0,1,0,0,0,0,14.51
0.82,612.5,318.5,147,7,1,0,0,0,1.25,0,0,0,0,0,1,25.7
0.9,563.5,318.5,122.5,7,0,0,0,1,1.1,0,0,0,0,1,0,29.79
0.76,661.5,416.5,122.5,7,0,0,0,1,1.25,0,0,0,0,0,1,36.7
0.71,710.5,269.5,220.5,3.5,0,0,1,0,1.4,0,0,1,0,0,0,14.4
0.82,612.5,318.5,147,7,0,0,1,0,1.4,0,0,0,0,0,1,29.06
0.79,637,343,147,7,0,0,0,1,1.25,0,0,0,0,0,1,38.65
0.76,661.5,416.5,122.5,7,0,0,1,0,1.1,0,0,0,0,1,0,33.09
0.79,637,343,147,7,1,0,0,0,1.1,0,0,0,1,0,0,35.78
0.71,710.5,269.5,220.5,3.5,0,0,0,1,1.4,0,0,0,0,0,1,12.42
0.69,735,294,220.5,3.5,0,1,0,0,1.25,0,0,0,0,0,1,12.12
0.86,588,294,147,7,0,0,0,1,1,1,0,0,0,0,0,18.31
0.71,710.5,269.5,220.5,3.5,0,0,1,0,1.25,0,1,0,0,0,0,12.57
0.98,514.5,294,110.25,7,0,0,0,1,1.1,0,0,0,1,0,0,24.35
0.69,735,294,220.5,3.5,1,0,0,0,1.1,0,0,0,0,1,0,11.18
0.82,612.5,318.5,147,7,0,1,0,0,1.25,0,0,0,1,0,0,25.48
0.79,637,343,147,7,0,1,0,0,1.4,0,0,0,0,1,0,41.73
0.71,710.5,269.5,220.5,3.5,0,0,0,1,1.1,0,0,0,0,0,1,13.69
0.98,514.5,294,110.25,7,1,0,0,0,1.25,0,0,0,0,1,0,28.7
0.69,735,294,220.5,3.5,0,0,0,1,1.1,0,0,0,1,0,0,11.14
0.98,514.5,294,110.25,7,0,0,1,0,1.4,0,0,0,0,1,0,32.21
0.86,588,294,147,7,0,0,1,0,1.4,0,1,0,0,0,0,32.09
0.86,588,294,147,7,0,0,1,0,1.25,0,0,1,0,0,0,29.27
0.66,759.5,318.5,220.5,3.5,0,1,0,0,1.1,0,0,0,0,1,0,11.42
0.62,808.5,367.5,220.5,3.5,0,1,0,0,1.4,0,0,0,0,0,1,16.44
0.76,661.5,416.5,122.5,7,0,0,0,1,1.25,0,0,0,0,1,0,36.26
0.62,808.5,367.5,220.5,3.5,0,0,1,0,1.25,0,0,0,0,0,1,14.16
0.79,637,343,147,7,0,0,0,1,1.25,0,1,0,0,0,0,39.04
0.98,514.5,294,110.25,7,0,0,1,0,1.1,0,0,0,0,1,0,24.04
0.79,637,343,147,7,0,0,0,1,1.4,0,0,0,1,0,0,42.08
0.9,563.5,318.5,122.5,7,1,0,0,0,1.1,0,0,0,1,0,0,28.07
0.66,759.5,318.5,220.5,3.5,0,0,0,1,1.1,0,0,1,0,0,0,11.43
0.69,735,294,220.5,3.5,1,0,0,0,1.25,0,0,0,0,1,0,12.91
0.79,637,343,147,7,0,0,0,1,1.1,0,1,0,0,0,0,35.94
0.86,588,294,147,7,1,0,0,0,1.25,0,0,0,0,0,1,29.71
0.9,563.5,318.5,122.5,7,0,0,1,0,1.1,0,0,0,0,0,1,28.03
0.76,661.5,416.5,122.5,7,0,1,0,0,1.1,0,1,0,0,0,0,32.12
0.9,563.5,318.5,122.5,7,1,0,0,0,1.25,0,0,0,0,1,0,32.67
0.9,563.5,318.5,122.5,7,0,1,0,0,1.1,0,0,0,0,1,0,28.05
0.9,563.5,318.5,122.5,7,1,0,0,0,1.4,0,0,0,1,0,0,34.24
0.76,661.5,416.5,122.5,7,1,0,0,0,1.25,0,1,0,0,0,0,36.96
0.86,588,294,147,7,0,0,1,0,1.1,0,0,1,0,0,0,26.33
0.76,661.5,416.5,122.5,7,1,0,0,0,1.25,0,0,0,1,0,0,35.99
0.79,637,343,147,7,1,0,0,0,1.1,0,0,0,0,0,1,37.03
0.64,784,343,220.5,3.5,1,0,0,0,1.25,0,1,0,0,0,0,17.5
0.62,808.5,367.5,220.5,3.5,0,1,0,0,1.1,0,0,0,0,1,0,13.04
0.62,808.5,367.5,220.5,3.5,0,1,0,0,1.4,0,0,1,0,0,0,17.23
0.9,563.5,318.5,122.5,7,1,0,0,0,1.25,0,0,0,1,0,0,31.63
0.69,735,294,220.5,3.5,1,0,0,0,1.4,0,0,1,0,0,0,14.75
0.66,759.5,318.5,220.5,3.5,0,0,0,1,1.25,0,0,0,0,0,1,13.02
0.74,686,245,220.5,3.5,1,0,0,0,1.25,0,0,0,1,0,0,11.8
0.82,612.5,318.5,147,7,1,0,0,0,1.1,0,0,0,1,0,0,22.93
0.86,588,294,147,7,1,0,0,0,1.4,0,0,0,1,0,0,31.28
0.79,637,343,147,7,0,0,0,1,1.25,0,0,1,0,0,0,38.98
0.74,686,245,220.5,3.5,0,0,1,0,1.4,0,0,0,0,1,0,14.32
0.82,612.5,318.5,147,7,0,0,0,1,1.4,0,0,0,1,0,0,28.91
0.9,563.5,318.5,122.5,7,0,1,0,0,1.4,0,1,0,0,0,0,37.24
0.9,563.5,318.5,122.5,7,1,0,0,0,1.1,0,0,0,0,1,0,29.06
0.9,563.5,318.5,122.5,7,0,0,0,1,1.4,0,0,0,0,0,1,35.24
0.69,735,294,220.5,3.5,0,0,0,1,1.1,0,1,0,0,0,0,11.16
0.71,710.5,269.5,220.5,3.5,0,0,0,1,1.4,0,0,0,0,1,0,14.66
0.62,808.5,367.5,220.5,3.5,0,1,0,0,1.1,0,1,0,0,0,0,12.97
0.86,588,294,147,7,1,0,0,0,1.4,0,0,1,0,0,0,32.48
0.66,759.5,318.5,220.5,3.5,1,0,0,0,1.25,0,0,0,1,0,0,12.97
0.66,759.5,318.5,220.5,3.5,0,0,1,0,1.4,0,0,0,0,0,1,14.92
0.71,710.5,269.5,220.5,3.5,0,1,0,0,1.1,0,0,0,0,0,1,10.7
0.82,612.5,318.5,147,7,0,1,0,0,1.4,0,0,0,1,0,0,29.67
0.82,612.5,318.5,147,7,0,1,0,0,1.4,0,0,0,0,1,0,28.05
0.74,686,245,220.5,3.5,0,1,0,0,1.1,0,0,0,0,0,1,10.37
0.98,514.5,294,110.25,7,0,1,0,0,1.1,0,0,0,1,0,0,24.4
0.71,710.5,269.5,220.5,3.5,0,1,0,0,1.4,0,0,0,0,1,0,14.7
0.66,759.5,318.5,220.5,3.5,0,1,0,0,1.1,0,0,1,0,0,0,11.42
0.86,588,294,147,7,0,0,0,1,1.25,0,0,1,0,0,0,28.4
0.71,710.5,269.5,220.5,3.5,0,1,0,0,1.1,0,1,0,0,0,0,10.8
0.98,514.5,294,110.25,7,0,0,1,0,1,1,0,0,0,0,0,15.55
0.9,563.5,318.5,122.5,7,0,1,0,0,1.1,0,0,1,0,0,0,29.68
0.62,808.5,367.5,220.5,3.5,0,0,1,0,1.4,0,0,1,0,0,0,17.26
0.64,784,343,220.5,3.5,1,0,0,0,1.1,0,0,1,0,0,0,15.41
0.82,612.5,318.5,147,7,1,0,0,0,1.4,0,0,1,0,0,0,28.95
0.64,784,343,220.5,3.5,0,1,0,0,1.25,0,1,0,0,0,0,17.35
0.71,710.5,269.5,220.5,3.5,0,0,1,0,1.4,0,0,0,1,0,0,13.94
0.71,710.5,269.5,220.5,3.5,0,0,1,0,1.1,0,0,1,0,0,0,10.55
0.62,808.5,367.5,220.5,3.5,0,0,0,1,1.4,0,1,0,0,0,0,17.14
0.64,784,343,220.5,3.5,0,0,0,1,1.4,0,1,0,0,0,0,19.42
0.86,588,294,147,7,0,1,0,0,1.25,0,0,0,1,0,0,29.4
0.86,588,294,147,7,0,0,1,0,1.1,0,0,0,0,0,1,25.36
0.64,784,343,220.5,3.5,0,0,0,1,1.25,0,0,1,0,0,0,17.11
0.82,612.5,318.5,147,7,0,0,1,0,1.1,0,0,1,0,0,0,23.67
0.64,784,343,220.5,3.5,0,0,1,0,1.1,0,1,0,0,0,0,15.42
0.86,588,294,147,7,1,0,0,0,1.1,0,0,0,0,0,1,27.03
0.71,710.5,269.5,220.5,3.5,0,1,0,0,1.25,0,0,0,0,1,0,12.49
0.66,759.5,318.5,220.5,3.5,0,1,0,0,1.25,0,0,0,0,0,1,12.82
0.9,563.5,318.5,122.5,7,0,0,1,0,1.4,0,0,0,1,0,0,35.05
0.9,563.5,318.5,122.5,7,1,0,0,0,1.1,0,0,0,0,0,1,29.83
0.64,784,343,220.5,3.5,0,0,1,0,1.4,0,0,0,0,1,0,19
0.66,759.5,318.5,220.5,3.5,1,0,0,0,1.1,0,0,1,0,0,0,11.45
0.66,759.5,318.5,220.5,3.5,0,0,0,1,1.25,0,1,0,0,0,0,13.18
0.71,710.5,269.5,220.5,3.5,0,0,1,0,1.4,0,0,0,0,1,0,14.47
0.74,686,245,220.5,3.5,0,0,1,0,1.4,0,0,1,0,0,0,14.18
0.98,514.5,294,110.25,7,0,0,0,1,1.1,0,0,1,0,0,0,24.25
0.76,661.5,416.5,122.5,7,0,0,1,0,1.1,0,1,0,0,0,0,32.94
0.69,735,294,220.5,3.5,0,0,1,0,1.1,0,0,0,0,0,1,11.11
0.69,735,294,220.5,3.5,0,1,0,0,1.4,0,1,0,0,0,0,14.7
0.98,514.5,294,110.25,7,1,0,0,0,1.1,0,0,0,0,1,0,24.38
0.76,661.5,416.5,122.5,7,0,0,0,1,1.4,0,1,0,0,0,0,40.43
0.82,612.5,318.5,147,7,0,0,0,1,1.1,0,1,0,0,0,0,22.58
0.98,514.5,294,110.25,7,0,0,0,1,1.4,0,0,1,0,0,0,32.72
0.79,637,343,147,7,0,1,0,0,1,1,0,0,0,0,0,29.9
0.74,686,245,220.5,3.5,0,1,0,0,1.4,0,0,1,0,0,0,14.45
0.66,759.5,318.5,220.5,3.5,0,0,1,0,1.4,0,1,0,0,0,0,15.23
0.82,612.5,318.5,147,7,0,0,1,0,1.1,0,0,0,1,0,0,24.17
0.74,686,245,220.5,3.5,1,0,0,0,1,1,0,0,0,0,0,6.07
0.98,514.5,294,110.25,7,0,0,0,1,1.1,0,1,0,0,0,0,24.59
0.76,661.5,416.5,122.5,7,0,1,0,0,1.4,0,1,0,0,0,0,39.97
0.62,808.5,367.5,220.5,3.5,0,0,1,0,1.25,0,0,0,1,0,0,13.95
0.66,759.5,318.5,220.5,3.5,0,1,0,0,1.4,0,0,1,0,0,0,15.29
0.62,808.5,367.5,220.5,3.5,0,1,0,0,1.4,0,1,0,0,0,0,17.17
0.86,588,294,147,7,1,0,0,0,1.4,0,0,0,0,0,1,32.31
0.82,612.5,318.5,147,7,1,0,0,0,1.4,0,0,0,0,0,1,30
0.64,784,343,220.5,3.5,0,0,1,0,1.1,0,0,0,1,0,0,15.12
0.74,686,245,220.5,3.5,0,0,1,0,1.25,0,1,0,0,0,0,12.41
0.74,686,245,220.5,3.5,0,0,1,0,1.1,0,1,0,0,0,0,10.36
0.69,735,294,220.5,3.5,0,0,1,0,1.1,0,0,0,0,1,0,11.07
0.86,588,294,147,7,0,0,0,1,1.1,0,0,1,0,0,0,25.36
0.66,759.5,318.5,220.5,3.5,0,1,0,0,1.25,0,1,0,0,0,0,13.18
0.79,637,343,147,7,0,1,0,0,1.25,0,0,0,0,0,1,39.83
0.9,563.5,318.5,122.5,7,0,1,0,0,1.25,0,1,0,0,0,0,33.48
0.76,661.5,416.5,122.5,7,0,1,0,0,1.1,0,0,0,1,0,0,33.28
0.86,588,294,147,7,0,0,0,1,1.25,0,1,0,0,0,0,28.66
0.74,686,245,220.5,3.5,0,0,0,1,1.25,0,0,0,0,1,0,12.43
0.86,588,294,147,7,1,0,0,0,1.4,0,0,0,0,1,0,32.38
0.66,759.5,318.5,220.5,3.5,0,0,1,0,1.25,0,0,0,0,1,0,12.86
0.98,514.5,294,110.25,7,1,0,0,0,1.25,0,0,0,0,0,1,28.69
0.64,784,343,220.5,3.5,0,0,1,0,1.1,0,0,0,0,1,0,15.32
